img,adj1,adj2,adj1not,adj2not,feature1,feature2,num_objs1,num_objs2,position,obj1shape, obj1color,obj1pattern,obj2shape, obj2color,obj2pattern,obj3shape, obj3color,obj3pattern
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond1-img0001.jpg,green,striped,blue,dotted,color,pattern,3,3,3,cloud,green,striped,cloud,green,striped,cloud,green,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond1-img0002.jpg,green,square,blue,circle,color,shape,3,3,2,square,green,solid,square,green,solid,square,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond1-img0003.jpg,green,striped,blue,dotted,color,pattern,3,3,3,cloud,green,striped,cloud,green,striped,cloud,green,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond1-img0004.jpg,blue,dotted,green,striped,color,pattern,3,3,3,cloud,blue,dotted,cloud,blue,dotted,cloud,blue,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond1-img0005.jpg,striped,circle,dotted,square,pattern,shape,3,3,1,circle,red,striped,circle,red,striped,circle,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond1-img0006.jpg,square,blue,circle,green,shape,color,3,3,3,square,blue,solid,square,blue,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond1-img0007.jpg,dotted,square,striped,circle,pattern,shape,3,3,2,square,red,dotted,square,red,dotted,square,red,dotted
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond1-img0008.jpg,blue,square,green,circle,color,shape,3,3,3,square,blue,solid,square,blue,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond1-img0009.jpg,circle,blue,square,green,shape,color,3,3,2,circle,blue,solid,circle,blue,solid,circle,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond1-img0010.jpg,striped,square,dotted,circle,pattern,shape,3,3,2,square,red,striped,square,red,striped,square,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type2-03-Oct-2011-03-Oct-2011-cond1-img0011.jpg,blue,striped,green,dotted,color,pattern,3,3,3,cloud,blue,striped,cloud,blue,striped,cloud,blue,striped
